12240051 - clip_attention-14-1e-4-1_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.377'] 
12240050 - clip_attention-14-1e-4-2_val.pkl : 	 ['Epoch   8 val', ' Macro-F1: 0.339'] 
12240049 - clip_attention-14-1e-5-1_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.275'] 
12240152 - clip_attention-epoch30-1e-4-1_val.pkl : 	 ['Epoch   9 val', ' Macro-F1: 0.361'] 
12240154 - clip_attention-epoch30-1e-4-2_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.350'] 
12240151 - clip_attention-epoch30-1e-5-1_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.270'] 
12240153 - clip_attention-epoch30-1e-5-2_val.pkl : 	 ['Epoch  18 val', ' Macro-F1: 0.207'] 
12237153 - clip_attention_val.pkl : 	 ['Epoch  14 val', ' Macro-F1: 0.376'] 
12240048 - clip_mlp-14-1e-5-0.5_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.322'] 
12240046 - clip_mlp-14-1e-5-2_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.317'] 
12240047 - clip_mlp-14-1e-5-3_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.316'] 
12240045 - clip_mlp-14-1e-6-1_val.pkl : 	 ['Epoch  10 val', ' Macro-F1: 0.076'] 
12240150 - clip_mlp-epoch30-1e-4-2_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.401'] 
12237161 - clip_mlp_val.pkl : 	 ['Epoch  14 val', ' Macro-F1: 0.422'] 
12241360 - clip_momenta_all-lr1e-4-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.403'] 
12250780 - clip_momenta_all-lr1e-4-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.440'] 
12250812 - clip_momenta_all-lr1e-4-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch   3 train', ' accuracy: 0.2847\n'] 
12241363 - clip_momenta_all-lr1e-4-mt300--sbermacro-caption+text_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.422'] 
12250783 - clip_momenta_all-lr1e-4-mt300-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.441'] 
12250815 - clip_momenta_all-lr1e-4-mt300-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  23 val', ' Macro-F1: 0.439'] 
12241345 - clip_momenta_all-lr1e-5-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch  12 val', ' Macro-F1: 0.331'] 
12241357 - clip_momenta_all-lr1e-5-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch   8 val', ' Macro-F1: 0.331'] 
12241348 - clip_momenta_all-lr1e-5-mt128--sberFalse-separated_val.pkl : 	 ['Epoch  28 val', ' Macro-F1: 0.364'] 
12241354 - clip_momenta_all-lr1e-5-mt128--sberTrue-caption+text_val.pkl : 	 ['Epoch  22 val', ' Macro-F1: 0.345'] 
12241351 - clip_momenta_all-lr1e-5-mt128--sberTrue-separated_val.pkl : 	 ['Epoch  23 val', ' Macro-F1: 0.335'] 
12250777 - clip_momenta_all-lr1e-5-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.249'] 
12250809 - clip_momenta_all-lr1e-5-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  12 val', ' Macro-F1: 0.242'] 
12250765 - clip_momenta_all-lr1e-5-mt128-macro-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  12 val', ' Macro-F1: 0.282'] 
12250797 - clip_momenta_all-lr1e-5-mt128-macro-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.217'] 
12250768 - clip_momenta_all-lr1e-5-mt128-macro-sberFalse-separated_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.300'] 
12250800 - clip_momenta_all-lr1e-5-mt128-macro-sberFalse-separated_cyclic5shorter_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.217'] 
12250774 - clip_momenta_all-lr1e-5-mt128-macro-sberTrue-caption+text_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.278'] 
12250806 - clip_momenta_all-lr1e-5-mt128-macro-sberTrue-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  12 val', ' Macro-F1: 0.226'] 
12250771 - clip_momenta_all-lr1e-5-mt128-macro-sberTrue-separated_cyclic5_val.pkl : 	 ['Epoch  14 val', ' Macro-F1: 0.217'] 
12250803 - clip_momenta_all-lr1e-5-mt128-macro-sberTrue-separated_cyclic5shorter_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.217'] 
12250786 - clip_momenta_all-lr2e-4-mt128-affine-sberTrue-separated_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.435'] 
